36, -1.201886 0.628722 -0.918929 -0.149848 -0.10055 -0.493318 -1.041874 -1.042493 -0.540831 -0.942431 -0.329513 -0.853217 1.238339;
37, -1.900908 0.338909 -1.39861 -0.515313 -1.056729 -1.02178 -0.584555 -0.154879 -0.634168 -1.559762 -0.709266 -0.070719 1.529404;
38, -1.765339 -0.148816 -1.386133 -0.538033 -1.358221 -0.73136 -1.2006 -0.592562 -0.514867 -1.61965 -0.771267 -0.402645 1.766704;
39, -1.099206 -0.155727 -0.422919 -0.143452 -0.659293 -0.691731 -1.145862 -1.454311 -0.573065 -0.309945 0.037282 -0.976085 2.073598;
40, -0.236786 -0.78523 -0.637957 0.043505 -0.456745 -0.909823 -1.008873 -1.222977 -0.500363 -0.417479 -0.193732 -0.689761 1.935785;
41, -0.710518 0.109884 -0.527444 -0.186626 -0.845272 -0.552094 -0.812386 -1.306994 -0.55462 -0.62112 -0.188768 -0.850159 1.654039;
42, 0.444111 -0.5555 -0.920118 0.429793 0.118607 -0.555686 -0.521702 -1.08794 -0.736307 -0.435702 -0.061864 -0.034531 1.613005;
43, -0.610039 -0.286107 -1.046739 0.919041 0.133027 -0.823188 -0.629945 -1.431512 -0.940367 -0.255703 0.028323 0.645613 1.721653;
44, -0.31458 0.140585 -0.777355 0.548074 0.610305 -0.59164 -0.795546 -0.918797 -0.603197 -0.213771 -0.40661 -0.315892 1.416972;
45, 1.444847 0.615491 -0.477624 0.45923 0.471251 -0.24695 -0.402873 -0.347783 -0.365135 -0.821351 -0.533442 -0.322843 0.290824;
46, 0.544484 -0.561575 -0.833987 0.935948 0.641863 -0.045676 -0.107397 -0.24697 -0.352095 -0.75791 -0.667653 -0.713854 1.728691;
47, 0.496091 -0.316674 -0.023421 1.277542 0.754694 0.181403 0.220395 0.233789 -0.434158 -0.656786 -0.227855 -0.23342 1.380128;
48, -0.721011 -0.705579 -0.296759 1.013618 0.658105 -0.149278 -0.245038 -0.050142 -0.321308 -0.635559 -0.942713 -1.194095 1.426452;
49, -0.856326 -0.887525 -0.288503 1.197441 0.852784 -0.214996 -0.078555 -0.15723 -0.343263 -0.654259 -1.039774 -1.158146 1.554866;
50, -0.928565 -0.237031 -0.212051 1.20954 0.812967 -0.153703 -0.284506 0.060746 -0.44498 -0.920421 -0.789818 -0.739813 1.742773;
51, -1.166426 0.039985 -0.481331 0.60245 0.663936 -0.049786 -0.457389 0.106897 -0.649689 -1.141845 -0.200329 -0.307553 1.68242;
52, -0.819904 0.035919 0.009803 1.117243 0.62604 -0.325698 -0.352964 0.006925 -0.612463 -1.078341 -0.330612 -0.414956 0.638982;
53, -1.301712 0.097259 -0.169816 0.842588 0.812734 -0.105775 -0.429211 -0.053564 -0.669026 -1.16632 -0.124698 -0.190869 1.384242;
54, -1.261152 -0.079032 -0.39399 0.582144 0.797077 -0.161036 -0.371834 -0.268456 -0.794745 -0.835243 -0.016726 0.03765 1.235564;
55, -1.104697 0.242743 -0.497066 0.625969 0.602977 -0.090295 -0.75474 -0.191937 -0.806397 -0.770961 0.10712 -0.232059 0.631266;
56, -1.407892 -0.058174 -0.578962 0.452312 0.697639 -0.050809 -0.53594 -0.177349 -0.811138 -0.719522 0.014321 -0.005507 1.18866;
57, -1.355559 0.189142 -0.218205 0.819531 0.69639 -0.159617 -0.667262 -0.036662 -0.611401 -1.069605 -0.074473 -0.237311 1.352782;
58, -1.267816 0.138004 0.027001 1.006487 0.645211 -0.111552 -0.450598 -0.096883 -0.526807 -0.852408 -0.160139 -0.247105 1.462354;
59, 0.308082 0.264945 -0.171127 1.542574 0.746224 -0.07786 -0.05561 0.292266 -0.325892 -0.619069 -0.415803 -0.577591 1.282501;
60, -0.762515 -0.102967 -0.183553 1.058178 0.590614 -0.037601 -0.497001 -0.101473 -0.556029 -0.891285 -0.179412 -0.274368 1.044188;
61, -1.442099 0.163299 -0.137107 0.84456 0.485148 -0.168711 -0.451269 -0.150744 -0.574381 -0.886573 -0.20605 -0.301725 1.72264;
62, -1.019726 -0.571865 -0.584757 1.31853 0.919002 0.071041 -0.405161 -0.148445 -0.187155 -0.711704 -1.029369 -1.191177 1.596672;
63, -0.346578 -0.403322 -0.156701 1.167436 0.704196 -0.156892 -0.530491 -0.003037 -0.548024 -0.83822 -0.400654 -0.325027 1.926436;
64, -0.572897 -0.346021 -0.111831 1.379776 0.665642 -0.113798 -0.516452 -0.123145 -0.511766 -0.738866 -0.180857 -0.031009 1.325457;
65, 0.424699 0.028354 -0.001693 1.391411 0.521302 -0.147974 -0.271748 0.085339 -0.198243 -0.509919 -0.062504 -0.129724 1.229305;
66, 0.234378 0.290215 -0.061056 1.608625 0.872341 -0.041438 -0.169503 0.366895 -0.085774 -0.675255 -0.363042 -0.387207 1.625909;
67, -0.42939 -0.264636 0.18631 1.30477 0.66571 -0.039899 -0.364051 -0.152966 -0.684138 -0.707182 -0.112341 -0.209739 1.427808;
68, -0.629296 -0.327392 0.08044 1.021318 0.727081 -0.175414 -0.403673 -0.0049 -0.60136 -0.950659 -0.192742 -0.263338 1.1124;
69, -0.731165 -0.806747 -0.032397 1.3531 0.826622 -0.077917 -0.042004 0.432307 -0.577843 -1.198172 -0.567637 -0.325435 1.943733;
70, 0.064803 -0.014643 -0.170411 1.305182 0.572213 0.010263 -0.137273 0.390635 -0.502666 -1.10006 -0.3531 0.164348 1.29016;
71, -0.835989 -0.130208 -0.263047 0.767848 0.36415 -0.25487 -0.60239 -0.308477 -0.722863 -1.023237 -0.22279 -0.039267 1.289187;
72, -1.266653 0.009924 -0.176365 0.87231 0.856364 -0.029212 -0.321087 0.013175 -0.668786 -1.016297 -0.114742 -0.167996 1.477273;
73, -0.867623 -0.247328 -0.38292 0.734853 0.796381 -0.184641 -0.435726 -0.053698 -0.60236 -0.953177 -0.171501 -0.14221 1.702577;
74, -1.551892 -0.126206 -0.700445 0.637417 0.704466 -0.150983 -0.23852 -0.058508 -0.671642 -0.754368 -0.171769 -0.106261 1.868903;
75, -1.309339 0.013827 -0.598386 0.926499 0.872938 -0.410871 -0.059759 -0.406298 -1.160722 -0.556167 0.26852 -0.065052 1.276899;
76, -0.815725 -0.475932 -0.33099 0.509445 0.4277 -0.473017 -1.04339 -0.479181 -0.688994 -0.018112 0.181157 -0.320652 2.200247;
77, -0.49742 0.202025 -0.589613 1.064103 -0.1866 -0.499538 -0.818079 -0.45556 -0.467882 -0.381507 0.251104 -0.286379 1.066049;
78, -0.620585 -0.333187 -0.395586 0.971522 0.502862 -0.488801 -1.157557 -0.368899 -0.677589 -0.254506 0.197878 -0.334463 0.880108;
79, -0.933671 -0.254785 -0.452044 0.753447 0.69297 -0.229269 -0.82599 -0.320211 -0.818166 -0.445067 -0.001657 -0.099949 1.267902;
80, -1.129768 0.099822 -0.835482 0.568532 0.193961 -0.443721 -0.602739 -0.244996 -0.779146 -0.345785 -0.170737 -0.313069 0.838214;
81, -1.256872 0.003507 -0.535484 0.57839 0.675243 -0.101637 -0.75047 -0.334382 -0.857251 -0.389453 0.164316 -0.170924 1.21449;
82, -1.024306 0.124261 -0.276488 0.756694 0.796728 -0.191264 -0.494717 -0.265147 -0.702607 -0.980346 -0.004859 -0.076992 1.108651;
83, -1.153199 0.091195 0.271981 1.170222 0.555308 -0.333219 -0.587699 -0.376288 -0.656966 -0.897453 -0.286702 -0.173274 1.548095;
84, -1.095034 0.090681 0.199572 0.851238 0.54889 -0.267132 -0.483902 -0.024751 -0.481795 -0.954654 -0.406431 -0.213504 1.148493;
85, -0.656401 -0.488302 -0.391545 0.570916 0.690231 0.084508 -0.416188 -0.112434 -0.907864 -0.808465 -0.105502 0.001657 1.546732;
86, -1.311518 0.07847 -0.919291 0.629153 0.173721 -0.413381 -1.215483 -0.426098 -0.910876 -0.297038 0.407452 -0.253457 1.296861;
87, -0.296814 0.337198 0.028332 1.362944 0.794033 -0.030165 -0.809594 0.00344 -0.265548 -0.654583 -0.416331 -0.455331 1.212362;
88, -1.243564 -0.002787 -0.372523 0.828044 0.678391 0.016319 -0.636184 -0.159717 -0.653581 -1.098006 -0.051603 -0.155789 1.00395;
89, -0.744691 -0.325351 -0.689421 0.941689 0.492116 0.171988 -0.675778 -0.182989 -0.934121 -0.72085 0.090114 0.074344 1.187353;
90, -0.89899 -0.01876 -0.831156 0.784268 0.45561 -0.313027 -1.057775 -0.532404 -1.115239 -0.231372 0.394029 -0.018437 1.324934;
91, 0.061473 0.099261 0.010995 1.066482 0.830494 -0.096412 -0.683137 0.090059 -0.549301 -0.658223 -0.592441 -0.4126 0.868233;
92, 0.081911 -0.491234 -0.360416 1.087929 0.368446 0.08242 -0.816583 0.007481 -0.783938 -0.706354 -0.410517 -0.124047 1.480071;
93, -0.748588 -0.287941 0.060213 1.110038 0.602931 -0.092111 -0.373571 -0.204121 -0.613048 -0.794703 -0.551425 -0.307375 0.988989;
94, -1.386524 -0.307896 -0.283519 1.172509 0.563628 -0.019467 -0.547553 -0.195747 -0.209059 -0.721932 -0.850315 -0.860953 1.827999;
95, -0.678051 -0.314837 -0.06177 1.213265 0.460838 -0.117636 -0.445783 -0.122715 -0.644697 -0.826609 -0.56642 -0.304074 1.992377;
96, -0.718619 -0.148616 0.182681 1.032524 0.59004 -0.051001 -0.5129 -0.164195 -0.626745 -0.722939 -0.257003 -0.198446 0.847397;
97, -0.304882 0.259993 -0.22872 1.398463 0.441674 -0.015399 -0.23889 0.130298 -0.188772 -0.727716 -0.534904 -0.451382 1.277422;
98, 0.203833 0.383568 -0.233302 0.831408 0.561814 0.102987 -0.656421 -0.035621 -0.550281 -0.802917 -0.508292 -0.396857 1.668317;
99, -1.112426 0.000458 -0.349834 0.729242 0.677208 0.114044 -0.354821 -0.003119 -0.746976 -0.926966 -0.441907 -0.285304 1.04564;
100, -1.559098 0.14118 -0.287816 0.796618 0.484744 -0.173385 -0.467154 -0.174342 -0.644938 -0.912157 -0.215698 -0.128938 1.389672;
101, -1.275102 0.051336 0.097611 0.971682 0.423818 -0.230273 -0.435672 -0.104139 -0.74824 -0.818366 -0.208274 -0.255916 1.261154;
102, -1.513703 -0.555211 -0.226388 1.129243 0.607232 0.000739 -0.292711 -0.073255 -0.214928 -0.735468 -1.127501 -1.129515 1.995071;
103, -0.946543 -0.423973 -0.343161 1.278324 0.710677 0.13604 -0.308472 -0.234152 -0.132276 -0.775156 -1.155042 -1.030392 1.678338;
104, -0.555639 -0.429643 -0.104415 0.987362 0.29771 -0.593935 -0.347309 -0.166109 -0.707016 -1.088046 -0.265081 -0.064706 2.595415;
105, -1.046379 0.151026 -0.173258 0.887792 0.487558 -0.267963 -0.48141 -0.321244 -0.717823 -0.903878 -0.051161 -0.044282 1.323809;
106, 0.04762 0.167555 -0.154253 1.449117 0.497943 -0.363624 -0.153132 0.216571 -0.072196 -0.735654 -0.451458 -0.427525 1.008809;
107, -0.82392 0.07924 0.045615 1.013058 0.240082 -0.243645 -0.375356 -0.156434 -0.577213 -0.93039 -0.536901 -0.119396 1.57547;
108, -0.983165 0.16736 -0.044028 1.040536 0.636824 -0.448676 -0.68908 -0.049495 -0.515262 -0.993582 -0.558549 0.044158 1.438638;
109, -0.104781 -0.00028 -0.111413 0.801095 0.518918 -0.207747 -0.219823 -0.068804 -0.744675 -0.61457 -0.296758 -0.0737 1.480786;
110, -1.079853 -0.350141 -0.506046 0.273776 -0.490994 -1.195631 -1.099015 -0.609132 -0.485909 -1.105876 -0.336429 0.110277 1.454727;
111, -0.591645 -0.268141 -0.846947 0.198286 -0.612528 -1.212464 -1.285313 -0.647625 -0.370163 -0.991575 -0.354208 -0.77127 0.718849;
112, -1.287743 -0.163271 -1.937578 0.04339 -0.702615 -1.563143 -1.436575 -0.442869 0.035357 -1.085908 -0.680533 0.020041 1.723629;
113, -0.12836 -0.097306 -1.60647 0.493054 -0.583772 -1.146305 -1.132746 -0.217569 -0.063293 -1.180264 -0.522606 -0.243875 0.396589;
114, -1.312767 -0.220381 -0.869624 0.210589 0.030962 -0.682252 -1.50893 -1.082215 -0.740776 -0.903097 -0.563864 -1.070966 2.070285;
115, -2.475584 -0.003615 -0.857407 -0.027376 0.177297 0.194411 -1.492411 -0.822602 -0.708279 -0.417745 -0.162667 -0.68503 1.2574;
116, -1.361492 0.191446 -0.618471 0.468613 0.150435 -0.153675 -1.618163 -0.850785 -0.674135 -0.606659 -0.04182 -0.827878 1.109423;
117, -1.354776 1.068287 -0.139384 0.41794 -0.605561 -1.036638 -1.627841 -0.8914 -0.964665 -1.174067 -0.141387 -0.567128 1.629092;
118, -0.70656 0.012117 -0.52514 0.389002 0.022056 -0.26849 -1.117078 -0.758112 -0.46055 -0.780446 -0.314277 -0.922344 1.073649;
119, -1.186154 -0.680259 -0.595292 0.339637 -0.131901 -0.399086 -0.760431 -0.394634 -0.455732 -0.84985 -0.257276 -0.440131 1.386305;
120, -0.749513 -0.035617 -1.312767 0.444796 -0.516235 -0.996849 -0.927041 -0.138368 -0.47063 -1.27563 -0.236877 -0.186169 0.216155;
121, -1.47941 -0.429368 -0.922882 -0.108758 -0.473071 -0.65956 -1.109325 -0.24158 -0.343397 -0.850249 -0.598649 -0.339897 1.059924;
